feature,name,mask,defects,fold,hight,width,california,cv,area
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w0.npy,11-T-PH-2022-10-20_h0_w0,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w1.npy,11-T-PH-2022-10-20_h0_w1,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w2.npy,11-T-PH-2022-10-20_h0_w2,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w3.npy,11-T-PH-2022-10-20_h0_w3,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w4.npy,11-T-PH-2022-10-20_h0_w4,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w5.npy,11-T-PH-2022-10-20_h0_w5,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w6.npy,11-T-PH-2022-10-20_h0_w6,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w7.npy,11-T-PH-2022-10-20_h0_w7,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w8.npy,11-T-PH-2022-10-20_h0_w8,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w9.npy,11-T-PH-2022-10-20_h0_w9,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w10.npy,11-T-PH-2022-10-20_h0_w10,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w11.npy,11-T-PH-2022-10-20_h0_w11,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w12.npy,11-T-PH-2022-10-20_h0_w12,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w13.npy,11-T-PH-2022-10-20_h0_w13,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w14.npy,11-T-PH-2022-10-20_h0_w14,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w15.npy,11-T-PH-2022-10-20_h0_w15,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w16.npy,11-T-PH-2022-10-20_h0_w16,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w17.npy,11-T-PH-2022-10-20_h0_w17,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w18.npy,11-T-PH-2022-10-20_h0_w18,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w19.npy,11-T-PH-2022-10-20_h0_w19,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h0_w20.npy,11-T-PH-2022-10-20_h0_w20,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w0.npy,11-T-PH-2022-10-20_h1_w0,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w1.npy,11-T-PH-2022-10-20_h1_w1,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w2.npy,11-T-PH-2022-10-20_h1_w2,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w3.npy,11-T-PH-2022-10-20_h1_w3,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w4.npy,11-T-PH-2022-10-20_h1_w4,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w5.npy,11-T-PH-2022-10-20_h1_w5,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w6.npy,11-T-PH-2022-10-20_h1_w6,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w7.npy,11-T-PH-2022-10-20_h1_w7,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w8.npy,11-T-PH-2022-10-20_h1_w8,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w9.npy,11-T-PH-2022-10-20_h1_w9,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w10.npy,11-T-PH-2022-10-20_h1_w10,False,False,-1,512,512,False,-1,Arizona
../data/021_Arizona/img/11-T-PH-2022-10-20_h1_w11.npy,11-T-PH-2022-10-20_h1_w11,False,False,-1,512,512,False,-1,Arizona
